# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	308026
#@/user_id	81bf718c-31d1-4575-8c56-55f3655d21e4
a 	啊	c=2745 d=3.34651 t=308026
a 	錒	c=78 d=1.47814 t=11170
a 	阿	c=5 d=1 t=297260
a a 	啊啊	c=30 d=1 t=298793
a a a 	啊啊啊	c=30 d=1 t=298262
a a a a 	啊啊啊啊	c=10 d=1 t=267773
a a a a a 	啊啊啊啊啊	c=5 d=1 t=302584
a a a a a a 	啊啊啊啊啊啊	c=2 d=0.1 t=270142
a a a a a a a 	啊啊啊啊啊啊啊	c=1 d=1 t=31124
a bi 	阿比	c=0 d=0.1 t=23984
a bi a 	阿比啊	c=1 d=1 t=23985
a de 	阿德	c=2 d=1 t=207860
a di 	阿迪	c=1 d=1 t=189853
a er ba ni ya 	阿爾巴尼亞	c=1 d=1 t=46172
a er sa si 	阿爾薩斯	c=3 d=2.85698 t=120038
a fan da 	阿凡達	c=2 d=1.97045 t=154733
a guang 	啊光	c=1 d=1 t=97627
a guang 	阿光	c=6 d=2.22541 t=268828
a ha ha 	啊哈哈	c=7 d=1 t=243575
a ha ha ha 	啊哈哈哈	c=2 d=1 t=239963
a ha ha ha ha 	啊哈哈哈哈	c=2 d=1 t=229324
a ha ha ha ha ha 	啊哈哈哈哈哈	c=1 d=1 t=225483
a hong 	阿訇	c=2 d=1 t=281058
a hua 	阿花	c=1 d=1 t=87732
a ji 	阿吉	c=0 d=0.1 t=66496
a ji li si 	阿基里斯	c=1 d=1 t=47744
a jia sha 	阿加莎	c=8 d=1.90937 t=295446
a jie 	阿姐	c=0 d=0.1 t=137508
a kai mai 	啊開賣	c=1 d=1 t=234278
a ke la 	阿克拉	c=0 d=0.1 t=113165
a ke la shi jian fa sheng da jia fen ji shu da lu fang ji da jia fen da ka ji feng nan qu 	阿克拉事件發生大家分基數大錄放機大家分打卡機豐南區	c=1 d=1 t=113166
a kui na 	阿奎那	c=0 d=0.1 t=282092
a kui na kan 	阿奎那看	c=1 d=1 t=282093
a la bo 	阿拉伯	c=13 d=0.0253494 t=308026
a la bo ren 	阿拉伯人	c=1 d=1 t=61000
a la bo yu 	阿拉伯語	c=15 d=1.96079 t=202633
a la fa te 	阿拉法特	c=1 d=1 t=305001
a la xi 	阿拉希	c=3 d=1 t=158071
a le 	啊了	c=1 d=1 t=200572
a li 	阿里	c=10 d=0.1 t=240097
a li ga duo 	阿里噶多	c=1 d=1 t=173680
a li tong 	阿里通	c=0 d=0.1 t=42560
a li tong xin 	阿里通欣	c=1 d=1 t=42561
a li yuan 	啊梨園	c=1 d=1 t=86579
a li yun 	阿里雲	c=47 d=1.72979 t=295618
a li yun dun 	阿里雲盾	c=3 d=2.91693 t=144385
a li yun you 	阿里雲郵	c=1 d=1 t=166508
a li yun zhang hao 	阿里雲帳號	c=1 d=1 t=171897
a lian 	阿聯	c=0 d=0.1 t=127972
a lian me 	阿聯麼	c=1 d=1 t=127973
a lian qiu 	阿聯酋	c=11 d=2.90268 t=185710
a men 	阿門	c=1 d=1 t=284463
a na pi 	啊那批	c=1 d=1 t=281741
a nong 	阿儂	c=1 d=1 t=149791
a sa 	阿萨	c=0 d=0.1 t=271609
a sa xin 	阿萨辛	c=1 d=1 t=271610
a sai bai jiang 	阿塞拜疆	c=1 d=1 t=46175
